#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 16:26:23 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       klmscint_top_map.ncd
#OUTPUT FILE:      klmscint_top_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBS,IO_L14N_0,UNUSED,,0,,,,,,,,,
A3,,IOBM,IO_L14P_0,UNUSED,,0,,,,,,,,,
A4,,IOBS,IO_L22N_0,UNUSED,,0,,,,,,,,,
A5,mgttxfault<1>,IOB,IO_L24N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A6,mgttxn,OPAD,MGTTXN0_101,OUTPUT,,,,,,,,LOCATED,NO,NONE,
A7,,,MGTAVTTTX_101,,,,,,,,,,,,
A8,,OPAD,MGTTXN1_101,UNUSED,,,,,,,,,,,
A9,,,GND,,,,,,,,,,,,
A10,mgtclk0n,IPAD,MGTREFCLK0N_101,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
A11,,,GND,,,,,,,,,,,,
A12,mgtmod2<1>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A13,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
A14,RAM_IO<7>,IOB,IO_L37N_GCLK12_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A15,,,GND,,,,,,,,,,,,
A16,,IPAD,MGTREFCLK1N_123,UNUSED,,,,,,,,,,,
A17,,,GND,,,,,,,,,,,,
A18,,OPAD,MGTTXN0_123,UNUSED,,,,,,,,,,,
A19,,,MGTAVTTTX_123,,,,,,,,,,,,
A20,,OPAD,MGTTXN1_123,UNUSED,,,,,,,,,,,
A21,,,GND,,,,,,,,,,,,
A22,RAM_A<4>,IOB,IO_L63N_SCP6_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A23,RAM_A<2>,IOB,IO_L65N_SCP2_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
A24,,,TCK,,,,,,,,,,,,
A25,WL_CLK_N<3>,IOB,IO_L2N_M5A14_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
A26,,,GND,,,,,,,,,,,,
AA1,LEDS<12>,IOB,IO_L36N_M3DQ9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
AA2,BUSA_SAMPLESEL_S<5>,IOB,IO_L36P_M3DQ8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AA3,BUSB_RD_ROWSEL_S<2>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AA4,BUSB_RD_ROWSEL_S<1>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
AA5,,,VCCAUX,,,,,,,,2.5,,,,
AA6,SAMPLESEL_ANY<10>,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA7,SHOUT<2>,IOB,IO_L64P_D8_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
AA8,,IOBS,IO_L52N_2,UNUSED,,2,,,,,,,,,
AA9,,IOBM,IO_L47P_2,UNUSED,,2,,,,,,,,,
AA10,SSTIN_P<6>,IOB,IO_L48P_D7_2,OUTPUT,BLVDS_25,2,,,,,,UNLOCATED,NO,NONE,
AA11,,IOBS,IO_L41N_VREF_2,UNUSED,,2,,,,,,,,,
AA12,,IOBS,IO_L33N_2,UNUSED,,2,,,,,,,,,
AA13,BUSA_RAMP,IOB,IO_L36N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
AA14,,,VCCO_2,,,2,,,,,2.50,,,,
AA15,,IOBM,IO_L28P_2,UNUSED,,2,,,,,,,,,
AA16,,IOBS,IO_L24N_VREF_2,UNUSED,,2,,,,,,,,,
AA17,BUSB_DO<16>,IOB,IO_L16N_VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
AA18,,IOBM,IO_L20P_2,UNUSED,,2,,,,,,,,,
AA19,,IOBM,IO_L18P_2,UNUSED,,2,,,,,,,,,
AA20,,,VCCO_2,,,2,,,,,2.50,,,,
AA21,,IOBM,IO_L15P_2,UNUSED,,2,,,,,,,,,
AA22,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
AA23,TDC_CS_DAC<7>,IOB,IO_L67P_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
AA24,TDC_CS_DAC<8>,IOB,IO_L67N_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,UNLOCATED,NO,NONE,
AA25,TDC3_TRG<4>,IOB,IO_L47P_FWE_B_M1DQ0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AA26,TDC1_TRG<4>,IOB,IO_L47N_LDC_M1DQ1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
AB1,BUSA_DO<2>,IOB,IO_L32N_M3DQ15_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
AB2,,,GND,,,,,,,,,,,,
AB3,BUSB_RD_ROWSEL_S<0>,IOB,IO_L32P_M3DQ14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
